company_name,job_title,salary,salary_type,work_location,emp_type,seniority,job_cat,job_details
VCARGO CLOUD PTE. LTD.,Senior Tradenet Specialist,"$2,500to$3,000",Monthly,"NATURAL COOL LIFESTYLE HUB, 29 TAI SENG AVENUE 534119",Full Time,Senior Executive,Others,"Roles & ResponsibilitiesAs a Senior Tradenet specialist, you are required to ensure the permits and associated requested pertaining to the accounts are handled and managed with 100% accuracy within the specified SLA.  Perform permit declarations in an accurate and timely manner, that is compliant and meet with both Customs requirements and customer requirements.  To oversee and check the quality of the permits done by the offsite / onsite data entry teams, and ensure accuracy and timeliness.  To maintain constant communication with the accounts assigned under him / her, and ensure all queries / requests are handled and processes within a SLA.  To look into ways/ areas of improvements in the respective accounts and work towards simplifying the business process via automation and other alternatives.  RequirementsEssential:   Must possess good communication skills and have basic knowledge in Microsoft office A fast learner with good initiative and work attitude Proactive and team player Meticulous, ability to multi-task and able to work in fast pace environment Willing to perform shift duties  Preferred:   Prior experience with permit declarations. "
UNILEVER ASIA PRIVATE LIMITED,Customer Service Asst. Manager - Unilever International China Seeding & Cross Border E-commerce,"$4,800to$6,000",Monthly,"MAPLETREE BUSINESS CITY, 20 PASIR PANJANG ROAD 117439",Permanent,Executive,Logistics / Supply Chain,"Roles & ResponsibilitiesCustomer Service Strategy:  Defining service/fulfilment strategy for all customers (MTF vs. MTO) based on differentiated needs of each customer. Work with planning team to ensure stock availability in line with the defined service strategy. Monitor stock covers for MTF portfolio.  Customer Service Operations:  Work with Capgemini (off-shore service provider) to ensure all back-end processes in ‘Order to Deliver’ are managed seamlessly to deliver a superior customer experience. Order Capture and Processing Order Delivery Invoicing Documentation sharing on time Master Data Management Ensure accuracy in order processing and invoicing. Be the first point of contact for all customers for supply chain related issues and ensure timely resolution. On-boarding of new customers wrt supply chain related processes. Provide inputs to planning team for customer and order prioritization in case of constrained supplies. Handle exceptional orders and less than lead time orders as per the strategic needs of the business. Review and process all Supply Chain related claims (damages, demurrage/detention, returns, refusals, etc.). Lead investigation to understand root causes and develop corrective action plans.  Performance Management:  Drive the Service, Cash & Cost Agenda for the business: Service level measurement and improvement through better understanding of losses. Implement CCFOT loss tree and drive action planning to mitigate losses in the future. Drive savings for the business through better distribution network design and reducing business waste due to demurrages/detentions.  Capability Building:  Drive automation in the ‘Order to Deliver’ process to reduce manual involvement/errors in current transaction processing and hence improve resource productivity (Roll out of Web Collect, Sales force, etc.) Design and drive a ‘Customer Connect Program’ to improve customer experience and satisfaction. RequirementsESSENTIAL  Bachelor’s degree in engineering or supply chain. 3 to 4 yrs experience in Supply Chain out of which at least 1 to 2 yrs in planning/customer service. Strong Interpersonal skills  PREFERRED  Candidates with APICS certification. FMCG experience "
THE BLUE BARREL PTE. LTD.,Maintenance Planner(Rotating Equipment / Petrochem / Maintenance Processes / $7kpm),"$5,000to$7,000",Monthly,"TUNG ANN ASSOCIATION BUILDING, 141 CECIL STREET 069541",Full Time,"Professional, Executive, Senior Executive","Engineering, Others, Repair and Maintenance","Roles & Responsibilities Provide planning and scheduling of routine maintenance activities for rotating equipment (mainly compressors and turbines) Responsible for work order planning and scheduling of all craft disciplines Ensure all plant maintenance activities are carried out in accordance with work orders Plan and schedule turnaround maintenance, planned and unplanned shutdown works Set up master data for equipment (including material, task list, PM plan), build maintenance plans and BOM(s) Provide SAP training and overview for the maintenance module Write, develop and maintain work packages related to maintenance and periodically review their effectiveness and efficiency Conduct and participate in risk assessment reviews on maintenance work Manage calibration records and schedules for all instrumentation Requirements Diploma and/or Bachelor in Mechanical Engineering 5 – 10 years of experience as Maintenance Technician/Executive in a similar industry Know-how in plant maintenance processes and equipment Ability to understand technical drawings and equipment documentation Knowledge of procurement processes and commercial basics Strong communication and organizational skills with the ability to work under pressure  Interested applicants please submit detailed resume with photo to matthew@thebluebarrel.com.sg Only shortlisted candidate will be notified. Matthew Poh Reg no: R1106423 EA Licence No: 07C5446"
CHARTERHOUSE PTE. LTD.,Software Consultant,"$5,500to$7,500",Monthly,"BANK OF CHINA BUILDING, 4 BATTERY ROAD 049908",Contract,Executive,Information Technology,"Roles & Responsibilities Anticipates potential project related problems and utilises refined techniques for identifying, eliminating or containing both technical and business risk Understands future customer, industry and business/information technology trends and applies this understanding in maximising the business potential of the existing engagement or in winning new business Analyses new and complex project related problems and create innovative solutions Exhibits strategic vision in SAP technical aspects and applies vision in engagements Problem Identification & Management System Software Administration Maintenance of SAP System Wide Tables SAP Client Data Management Performance Analysis and Capacity Management of SAP Environments  Tuning of SAP EnvironmentRequirements Must have at least seven years R/3 expertise as a basis consultant Must have performed three implementations gaining experience in the ‘real world’ of business process. Must have strong consultancy and client facing skills Must have excellent  written and oral communication skills Must have an intuitive and expert knowledge of the SAP R/3 product with its application to SAP modules and its effect on related modules Must be able to work as a team player whilst maintaining ability for autonomous accountability  Please send your resume in word format with your current and expected salary to yvonnet@charterhouse.com.sg   EA License no.: 13C6338 I Reg no.: R1110355"
AA INTERNATIONAL CONSULTANCY PTE. LTD.,Marketing Assistant,"$1,800to$2,500",Monthly,"ENTERPRISE ONE, 1 KAKI BUKIT ROAD 1 415934",Full Time,Junior Executive,Marketing / Public Relations ,"Roles & Responsibilities Report to Department manager and assist in marketing activities. Analyse and review customer data. Conduct market research on company performance. Supporting the sales planning activities. Manage social media platform (Facebook, Instagram, Website, etc). Develop marketing plans & strategies to increase brand awareness. Requirements Minimum Diploma in Marketing/Business Administration or relevant fields. Minimum 1 year working experience. Proactive and able to work independently. Good verbal and written communication skills. Experience in digital marketing. "
PERX TECHNOLOGIES PTE. LTD.,Senior Solutions Architect,"$7,000to$10,000",Monthly,"THE RIVERWALK, 20 UPPER CIRCULAR ROAD 058416",Full Time,Middle Management,Sales / Retail ,"Roles & ResponsibilitiesThe Solutions Architect is responsible for knowing the business’s key Enterprise SaaS platform offering and have a command on systems architecture for mobile (browser and app) and digital platform integrations. ·        You will be responsible for creating logical solutions design in accordance to the need of the client. ·        Provide technical architecture leadership (application, data, system software) in the design, development, deployment, and post go live support of a client roll out by working closely with the post sales project team. ·        Be responsible for major and complex assignments with long-term clients; this role contributes to the overall cross sell strategy and will manage complex issues within various functional areas the client is trying to resolve. ·        Serve as the technical lead and senior architect on client proof of concept (POC) and follow-on activities relating to the broader initiative. ·        Understand client and business outcome objectives to design solutions based on specific client requirements and business strategic objectives. ·        Be “hands on” with the technology platform to test, modify, and execute solutions to achieve expected outcomes ·        Represent the business as a lead solutions architect in meetings with clients and partners. ·        Coordinate with both internal and client project teams and business leads to translate detailed specifications into scalable and supportable technology solutions. ·        Maintain relationships across all areas to effectively execute designs and implementations. ·        Provide guidance to project teams and third party’s where applicable during the client development lifecycle including code and test reviews, to ensure quality and conformance to the defined solution architecture, standards and practices ·        Train and enable partners where necessary Experience working with RFPs and delivering quality proposals and statement of workRequirementsQUALIFICATIONS: ·        Bachelor’s Degree in computer science, engineering, technology or related discipline ·        Significant experience in enterprise CRM, Marketing Automation, BI solutions and/or architecture ·        Significant experience in systems integration or middleware technologies ·        Significant experience in solutions architecture design and implementation KNOWLEDGE/EXPERIENCE: ·        Experience with new technology introduction and integration ·        Strong communication skills with demonstrated ability to tailor technical content for both technical and non-technical audiences across various levels of leadership ·        Expertise with system integration’s and middleware platforms ·        Effective change agent with demonstrated ability to motivate others and achieve results ·        Demonstrated ability to lead and work in a matrix organization structure ·        Strong project leadership skills including project initiation, scoping, resourcing, scheduling, risk management and communication ·        Demonstrated curiosity with new technology and its practical application KEY SUPPORTING COMPETENCIES: ·        Creates collaborative relationships: Customer focus, Listening ·        Delivers consistent results: Functional/Technical skills, Action Oriented ·        Navigates complex challenges: Dealing with ambiguity, Business Acumen, Problem solving ·        Builds and Fosters Customer Relationships: Consults and advises customers KEY FUNCTIONAL COMPETENCIES AND TECHNICAL SKILLS:"
AMLAB SERVICES PTE. LTD.,Assistant Chemist,"$2,000to$2,800",Monthly,"CENTRAL PLAZA, 298 TIONG BAHRU ROAD 168730",Permanent,"Non-executive, Junior Executive","Environment / Health  , Sciences / Laboratory / R&D","Roles & Responsibilities Perform routine chemical testing in food, soil or water Operate equipment like ICP-OES, GCMS, UV-VIS, HACH, IC Perform sample preparation Perform data entry and recording Perform routine sample disposal Perform in house calibration Perform any additional assigned jobs Perform Method validation Maintain and improve SAC-SINGLAS ISO/IEC 17025: 2017 requirements. Ensure deadlines are met for chemical testing. Ensure sufficient resources for testing. Maintain good laboratory practices. Excellence ability in resource management. Ability to multitask. Ability to work independently with minimum supervision. Excellent communication and organization skills are a must. Requirements Mature and independent candidate Degree in Biochemistry or equivalent 1 year working experience in laboratory or entry level Strong team player with a positive attitude and a strong sense of responsibility Able to cope in a fast paced environment "
SODEXO SINGAPORE PTE. LTD.,Finance Operational Controller,"$5,000to$7,000",Monthly,,Full Time,Manager,Accounting / Auditing / Taxation,"Roles & Responsibilities Analyze site processes and the compliance with Internal control processes. Contribute to implementation of process, policies, procedures and practices at site level. Ensure all controls are in place and propose recommendation to improve processes. Review Operation contracts to understand contractual obligations and assist on the achievement of financial goals and expectations, identifying gaps. Monthly review of P&L and all financial data of the units. Support Segments on the Preparation of Budget, Forecast and 5Y Plan. Organize and participate to regular random spot site checking. Prioritize and target under performance units, working closely with Operations Managers on improvement strategies. Support Segments Directors on contract renegotiation and price revision. Support mobilization sites on all finance and internal control aspects. Provide operational performance metrics for the units. Develop benchmarking and comparison between units. Monitor operational KPIs. Preparation of reports to analyze irregularities, deviation, and gaps. Manage the Internal Control processes at site level. Requirements Bachelors or equivalent in finance/related disciplines Minimum 3-5 years’ experience in Food & Beverage industry or retail multi-site industry Eager for a significant operational exposure to be support and partner to operations Pro-active approach with an ability to work in autonomy and proven ability to work in a collaborative way Analytical skills, curiosity, accuracy Tenacious, able to perform well under pressure Excellent communication and interpersonal skills "
TESCOM (SINGAPORE) SOFTWARE SYSTEMS TESTING PTE LTD.,IT AUDITOR,"$4,000to$6,000",Monthly,"SINGAPORE LAND TOWER, 50 RAFFLES PLACE 048623",Contract,Professional,"Accounting / Auditing / Taxation, Information Technology","Roles & Responsibilities Analyse and assess Technology risks assumed by both the business and support functions. Identify and evaluate the effectiveness of controls designed to address those risks Conduct reviews and audits of Technology, Infrastracture and applications used by the business and support  functions. Prepare neat, concise and well organized audit work papers which support audit work performed and conclusions reached in accordance with generally acccepted auditing standards. Perform Data Analysis to facilitate Risk Assessment, Control Evaluation and MIS Preparation. Work with the Technology / Business Units to determine remediation plans for all deficiencies noted during the Audit work and provide practical, innovative and value added solutions to issues identified  Perform Audit Issues Tracking Verification Requirements Bachelor Degree in IT or Accounting 5 - 7 yrs of IT Audit Experience Strong Technical Aptitude and Knowledge. Comfortable in identifying critical IT controls and processes across a wide range of IT technologies and environments (i.e. various: databases, operating systems, network control devices, messaging systems, data protection products, mobile technologies, threat detection & prevention systems, data & storage components, virtualization, etc) Data Analytics experience: Able to work with tools such as Access, ACL and Excel to perform data analysis Ability to work independently with minimal supervision Good Communication Skills: Able to fully understand the extent and impact of control deficiencies and to concisely communicate these findings both verbally and in writing. Key Attributes: Hands on self-starter; High energy; Well organized; Quality and process oriented Certified ISACA "
GIFT MANAGEMENT ASIA PTE. LTD.,Helpdesk Team Lead,"$3,800to$4,500",Monthly,"MAPLETREE ANSON, 60 ANSON ROAD 079914",Full Time,Non-executive,Information Technology,"Roles & ResponsibilitiesJob Description We are looking for an experienced customer service-oriented Helpdesk Team Lead to provide technical support to users in an efficient and accurate manner. Based in our headquarter office in Singapore, you will guide and support our junior agents stationed across the world. You will be considered as the firm’s front liner and you will solve basic technical problems and provide support for all assigned areas. The goal is to make sure that customer value is maintained to the standards set forth by the company. Responsibilities ·         Administrate the Ticketing system   ·         Organise regular training to the support agents around the world   ·         Provide first level contact and convey resolutions to customer issues   ·         Properly escalate unresolved queries to the next level of support   ·         Track, route and redirect problems to correct resources   ·         Update customer data and produce activity reports   ·         Walk customers through problem solving process   ·         Follow up with customers, provide feedback and see problems through to resolution   ·         Utilise excellent customer service skills and exceed customers’ expectations   ·         Build support/guidelines documentation repositoryRequirementsProven working experience in providing help desk support -         Proficiency in English   -         Proficient in at least 1 helpdesk software in usage and administration   -         3 to 5 years’ experience in helpdesk   -         Computer savvy   -         Working knowledge of helpdesk software, databases and remote control   -         Strong client-facing and communication skills   -         Advanced troubleshooting and multi-tasking skills   -         Customer service orientation   -         Proactive and able to lead and guide junior agents  "
NESTIA PTE. LTD.,Product Manager,"$3,000to$5,000",Monthly,"ALEXANDRA TECHNOPARK, 438A ALEXANDRA ROAD 119967",Full Time,"Middle Management, Professional",Engineering,"Roles & Responsibilities Shape the overall product vision and roadmap Collaborate with engineering and design to define an ambitious strategy, develop and maintain a prioritized product backlog, and execute on delivering great experiences for users Define and communicate product requirements and specifications by thinking creatively and rigorously about how to solve problems that have never been solved before Ensure strong collaboration and communication across the company - marketing, operations, engineering, content, customer service, and IT Collect data, user feedback, and market research, and use that to inform product development Requirements Bachelor degree in computer science, software engineering, information technology, business, finance, economics or related fields Strong analytical skills and creative problem solving skills Excellent written and verbal communication skills in both English and Chinese Strong business acumen, be customer focused, team and results-oriented Strong interest in marketplaces or supply-demand economics 3+ years in a senior product management experience at a tech software company Demonstrated success in delivering compelling products Experience creating easy to use, delightful user interfaces "
NATIONAL UNIVERSITY OF SINGAPORE,Health Economics Research Fellow (Code: OR / HSSR / EF) - 005QL,"$58,560to$117,120",Annually,21 LOWER KENT RIDGE ROAD 119077,Full Time,Non-executive,Others,"Roles & ResponsibilitiesThis position is under the Signature Program in Health Services and Systems Research (HSSR) in the Duke-NUS Medical School. The candidate will work closely with senior health economists in high value health economic research endeavors and perform a variety of functions such as:  Provide support in the design and analysis of field trials that aim to assess how insights from behavioral economics can reduce the risk factors for chronic, lifestyle-related diseases. Contribute to a portfolio of work on the economics of end-of-life care, including econometric analyses, decision modelling, preference assessments and patient/care-giver decision-making.   Assist in other research projects, journal publications, research grants and other activities with the primary objective to increase the capacity for health economics within the broader SingHealth Academic Medical Centre community. Conduct econometric and statistical analyses of empirical data, cost-effectiveness analyses, literature reviews, preparation of manuscripts, development of proposals, grant applications, and other related activities. Requirements PhD or equivalent in economics, health economics, or related field.   Demonstrated ability to conduct advanced econometric and statistical analyses. Experience with cost-effectiveness analyses and decision modelling preferred. Proven record of writing applied and/or methodological academic papers. Well-developed interpersonal skills and an ability to interact with a wide range of people, including clinicians and other health care professionals.  Interested applicants, please upload the following documents when you apply online: (1) Cover letter stating your interest in the position; (2) Writing samples We regret that only short-listed candidates will be notified."
LEICA GEOSYSTEMS TECHNOLOGIES PTE. LTD.,Inside Sales Manager,"$8,000to$13,000",Monthly,"MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981",Full Time,Manager,Sales / Retail ,"Roles & ResponsibilitiesPosition is based in Singapore. The Manager of Inside Sales Asia & Oceania will be responsible for leading a new sales team to support all aspects of Sales and Business Development to identifying new sales opportunities within exisitng and future market segments and distribution channels, then converting them into sales. Main Tasks include:  Create and build a new sales team. Realise and exceed sales targets. Manage the overall operational, budgetary, and financial responsibilities and activities of the department. Develop team members by coaching and training. Reveiw and report team sales metrics to top management. Prepare and maintain sales forecast. Analyze and review market and sales data, for strategic planning of sales activities. Implement and control new sales processes. Participate in a variety of task force groups to improve cross departmental/region work flows.    Requirements Bachelor 's Degree or its equivalent. Proficient in both written and spoken English and German as there will be frequent liasing with HQ counterpart. Strong knowledge of Microsoft Office, SAP, CRM systems preferably Salesforce.com. Knowledge of the function, operations and vision for Inside Sales. Experience in employee coaching and training. Strong reporting and analytical skills. Experienced in telephone sales in large ticket goods and services. Excellent organizational skills. Outstanding interpersonal relationship building. "
PALO IT SINGAPORE PTE. LTD.,Application Designer - UX Designer,"$7,000to$14,000",Monthly,51B CIRCULAR ROAD 049406,"Permanent, Full Time","Manager, Professional",Information Technology,"Roles & ResponsibilitiesPalo IT is an innovation & agile development company. From Design Research to DevOps, we are in the business of end-to-end development of breakthrough digital experiences. As a community of innovators and developers, we also aim at renewing the way organizations operate, promoting sustainable business agility, user-centricity and open collaboration while having fun doing it.  Started in Paris in 2009 and with offices in Singapore, Hong Kong and Mexico, we are looking for our next superstar to join our exciting team in Singapore.  At Palo IT, our employees are not widgets. They are in the center of all our projects and successes. We offer an exciting and creative working environment, with endless opportunities to develop your skills, travel and take your career to the next level. Get in touch to find out more!  Your profile & role on the project  YOU:   Thrive on challenge. When was the last time you fail?   Are curious & always learning. What are you up to right now?   Can deal with constant change. When were you last surprised?   Have mastered at least one skill of your trade but you’re not defined by it. What can you  teach us? Can you wear many hats?  YOU AGAIN:  The candidate should be able to oversee the full spectrum of design and development  challenges and partner with PMs, engineers, researchers and content strategists to oversee the  user experience of a product from conception to launch.  ➔ Drive user experience audits, reviews and heuristic evaluations.  ➔ Visualize, design and conceptualize the user experience.  ➔ Design and run design human centered workshops.  ➔ Present concepts and UX solutions.  ➔ Understand product definition and user interface design requirements.  ➔ Lead sketching sessions. Strong understanding of design research methodologies.  ➔ Create detailed wireframes along with define interaction specifications and build  prototype.  STILL YOU:  Graduated with a Bachelor's degree, you have a provedn experience of 2 to 10 years on a similar position. You are passionate about new technologies, digital innovation and design. You have already worked in an Agile environment driven by Time-To-Market, you communicate easily, are independent and able to make significant proposals. Within exciting projects, you will initiate UX design and assist our customers in adopting the patterns expected for their softwares, mobile/tablet/web applications, e-commerce platforms, etc.  ✔ Bachelor’s Degree in Design, Multimedia, Information Architecture, Human Computer  Interaction, Instructional or Graphic Design, related field.  ✔ At least 3-5 years of experience in the field of UX.  ✔ Understanding of motion design, HTML, CSS and other technical platforms.  ✔ Knowledge of design and prototyping tools such as Photoshop, Illustrator, Silverback,  Dreamweaver, Fireworks, Visio, Axure and/or other wire framing tools.  ✔ Experience designing digital experiences web and mobile platforms.  ✔ Experience in agile development processes.  ✔ Entrepreneurial/wild spirit combined with corporate know-how.  ✔ Outstanding communication skills, able to design and run workshops.  ✔ Great sense of humor, fun to work with and digital guru!  Your role at PALO IT  You will be invited to take part in R&D works done within our Practices. You will have the chance to assist or be a speaker at must-attend international IT conferences. You will have the  opportunity to write articles for our Blog or specialized press. Genuine ambassador of PALO IT,  you will present our offers and take an active role in the development of the company.  Your technical environment  # UX for web, mobile and tablet apps  # Motion design, HTML, CSS and other technical platforms  # Photoshop, Illustrator, Silverback, Dreamweaver, Fireworks, Visio, Axure and/or other wire  framing tools  WHY US ?  PALO IT is a learning company guided by the values of Agility and craftsmanship offering you  multiple possibilities to express yourself and enhance your skills through :  # Our monthly BarCamps;  # Our R&D projects;  # Our Practices (Development, Architecture, Lean & Agile, Big Data);  # Our missions high added value missions in France and internationally that will make you  discover new horizons;  # Our participation to and sponsoring of major technical events;  # And our parties parties = FUN !  Firmly focusing on international expansion, we have offices in France, Hong Kong, Singapore, Sydney and Mexico, meet us to continue this growth !  If you like what you just read, we’d love to have a chat with you!Requirements✔ Bachelor’s Degree in Design, Multimedia, Information Architecture, Human Computer  Interaction, Instructional or Graphic Design, related field.  ✔ At least 3-5 years of experience in the field of UX.  ✔ Understanding of motion design, HTML, CSS and other technical platforms.  ✔ Knowledge of design and prototyping tools such as Photoshop, Illustrator, Silverback,  Dreamweaver, Fireworks, Visio, Axure and/or other wire framing tools.  ✔ Experience designing digital experiences web and mobile platforms.  ✔ Experience in agile development processes.  ✔ Entrepreneurial/wild spirit combined with corporate know-how.  ✔ Outstanding communication skills, able to design and run workshops.  ✔ Great sense of humor, fun to work with and digital guru!  "
PALO IT SINGAPORE PTE. LTD.,Senior Application Designer - Lead / Senior UX Designer,"$7,000to$14,000",Monthly,51B CIRCULAR ROAD 049406,"Permanent, Full Time","Manager, Professional",Information Technology,"Roles & ResponsibilitiesPalo IT is an innovation & agile development company. From Design Research to DevOps, we are in the business of end-to-end development of breakthrough digital experiences. As a community of innovators and developers, we also aim at renewing the way organizations operate, promoting sustainable business agility, user-centricity and open collaboration while having fun doing it.  Started in Paris in 2009 and with offices in Singapore, Hong Kong and Mexico, we are looking for our next superstar to join our exciting team in Singapore.  At Palo IT, our employees are not widgets. They are in the center of all our projects and successes. We offer an exciting and creative working environment, with endless opportunities to develop your skills, travel and take your career to the next level. Get in touch to find out more!  Your profile & role on the project  YOU:   Thrive on challenge. When was the last time you fail?   Are curious & always learning. What are you up to right now?   Can deal with constant change. When were you last surprised?   Have mastered at least one skill of your trade but you’re not defined by it. What can you  teach us? Can you wear many hats?  YOU AGAIN:  The candidate should be able to oversee the full spectrum of design and development  challenges and partner with PMs, engineers, researchers and content strategists to oversee the  user experience of a product from conception to launch.  ➔ Drive user experience audits, reviews and heuristic evaluations.  ➔ Visualize, design and conceptualize the user experience.  ➔ Design and run design human centered workshops.  ➔ Present concepts and UX solutions.  ➔ Understand product definition and user interface design requirements.  ➔ Lead sketching sessions. Strong understanding of design research methodologies.  ➔ Create detailed wireframes along with define interaction specifications and build  prototype.  STILL YOU:  Graduated with a Bachelor's degree, you have a provedn experience of 8 to 12 years on a similar position. You are passionate about new technologies, digital innovation and design. You have already worked in an Agile environment driven by Time-To-Market, you communicate easily, are independent and able to make significant proposals. Within exciting projects, you will initiate UX design and assist our customers in adopting the patterns expected for their softwares, mobile/tablet/web applications, e-commerce platforms, etc.  ✔ Bachelor’s Degree in Design, Multimedia, Information Architecture, Human Computer  Interaction, Instructional or Graphic Design, related field.  ✔ At least 5 years of experience in the field of UX.  ✔ Understanding of motion design, HTML, CSS and other technical platforms.  ✔ Knowledge of design and prototyping tools such as Photoshop, Illustrator, Silverback,  Dreamweaver, Fireworks, Visio, Axure and/or other wire framing tools.  ✔ Experience designing digital experiences web and mobile platforms.  ✔ Experience in agile development processes.  ✔ Entrepreneurial/wild spirit combined with corporate know-how.  ✔ Outstanding communication skills, able to design and run workshops.  ✔ Great sense of humor, fun to work with and digital guru!  Your role at PALO IT  You will be invited to take part in R&D works done within our Practices. You will have the chance to assist or be a speaker at must-attend international IT conferences. You will have the  opportunity to write articles for our Blog or specialized press. Genuine ambassador of PALO IT,  you will present our offers and take an active role in the development of the company.  Your technical environment  # UX for web, mobile and tablet apps  # Motion design, HTML, CSS and other technical platforms  # Photoshop, Illustrator, Silverback, Dreamweaver, Fireworks, Visio, Axure and/or other wire  framing tools  WHY US ?  PALO IT is a learning company guided by the values of Agility and craftsmanship offering you  multiple possibilities to express yourself and enhance your skills through :  # Our monthly BarCamps;  # Our R&D projects;  # Our Practices (Development, Architecture, Lean & Agile, Big Data);  # Our missions high added value missions in France and internationally that will make you  discover new horizons;  # Our participation to and sponsoring of major technical events;  # And our parties parties = FUN !  Firmly focusing on international expansion, we have offices in France, Hong Kong, Singapore, Sydney and Mexico, meet us to continue this growth !  If you like what you just read, we’d love to have a chat with you!Requirements✔ Bachelor’s Degree in Design, Multimedia, Information Architecture, Human Computer  Interaction, Instructional or Graphic Design, related field.  ✔ At least 3-5 years of experience in the field of UX.  ✔ Understanding of motion design, HTML, CSS and other technical platforms.  ✔ Knowledge of design and prototyping tools such as Photoshop, Illustrator, Silverback,  Dreamweaver, Fireworks, Visio, Axure and/or other wire framing tools.  ✔ Experience designing digital experiences web and mobile platforms.  ✔ Experience in agile development processes.  ✔ Entrepreneurial/wild spirit combined with corporate know-how.  ✔ Outstanding communication skills, able to design and run workshops.  ✔ Great sense of humor, fun to work with and digital guru!  "
SINOHYDRO CORPORATION LIMITED (SINGAPORE BRANCH),Finance Manager,"$6,000to$8,000",Monthly,"NORDIC EUROPEAN CENTRE, 3 INTERNATIONAL BUSINESS PARK 609927",Full Time,Manager,Accounting / Auditing / Taxation,"Roles & ResponsibilitiesThe Finance Manager (FM) is the lead finance business partner for the organisation and has responsibilities covering all aspects of financial management, performance management, financial accounting, budgeting and corporate reporting. He/She reports to the Financial Controller. He/She must have sound technical as well as management skills and be able to lead a team consisting of finance professionals with varied, in-depth or niche technical knowledge and abilities. He/She consolidates their work and ensuring its quality and accuracy, especially for reporting purposes.  The FM is expected to provide sound financial advice and counsel (on working capital, financing or the financial position of the business) to the Financial Controller as well as the organisation's senior management and leadership team by synthesising internal and external data and studying the economic environment. He/She often has a key role in implementing best practices in order to identify and manage all financial and business risks and to meet the organisation's desired business and fiscal goals. He/She is expected to have a firm grasp of economic/business trends and to implement work improvement projects that are geared towards quality, compliance and efficiency in finance.Requirements~ Advise management on the organisations exposure to risks and the involvement of financial institutions, money market instruments and treasury management functions where applicable. ~ Analyse and assess the impact of investment decisions on the financial position of the organisation. ~ Analyse the financial performance and position of the organisation and develop suitable accounting policies to meet reporting requirements. ~ Analyse, compile and present management information for managerial decision making. ~ Apply appropriate appraisal techniques and consideration for taxation, inflation and risk in investment decisions. ~ Articulate to management all relevant tax issues to minimise the organisations tax liabilities. ~ Assess the chargeable gains and losses of the organisation, as well as capital gain tax liabilities. ~ Calculate accounting ratios relating to profitability, liquidity, efficiency and position. ~ Evaluate the effectiveness of the organisations financial system and determine any areas of improvement. ~ Identify and adopt business intelligence tools to analyse financial data and information. ~ Identify and calculate both financial and non-financial performance measurements for reporting on the organisations performance. ~ Manage a documented system of accounting policies and procedures. ~ Oversee the preparation of the organisations budget. ~ Plan and coordinate the annual financial audit process. ~ Provide financial leadership and strategic thinking to support sustainable value-creation. ~ Resolve issues and deficiencies arising from audit findings. ~ Respond to internal and external auditors on audit data, variances and audit findings. ~ Supervise and review the preparation of consolidated financial statements, business activity reports and forecasts for management and external stakeholders. ~ Supervise the calculation of taxable income and income tax liabilities of the organisation. ~ Use management information systems strategically for effective management and control of the business. Education Qualification:             Minimum Diploma/ Degree in Accounting/ ACCA Experience / Skill Required  Minimum 3 years experience preferably in Construction sector Good interpersonal and communication skills and able to interact with people of all levels Ability to develop and establish financial policies and procedures Ability to analyze financial data and to prepare accurate reports in a timely fashion Knowledge of policies and practices associated with payroll and benefits administration Strong organizational skills and the ability to maintain detailed records "
NATIONAL UNIVERSITY OF SINGAPORE,Research Assistant,"$30,000to$58,200",Annually,21 LOWER KENT RIDGE ROAD 119077,Contract,Non-executive,Sciences / Laboratory / R&D,"Roles & ResponsibilitiesThe National University of Singapore invites applications for the position of Research Assistant in the Institute of Data Science. The Research Assistant will be responsible for working closely with Prof Wynne Hsu and Prof Lee Mong Li on the “Mitigating Fake News Propagation” project to examine  how the social network structure and message content contribute to the spread of fake news, and to develop state-of-the-art techniques for detecting fake news early, and identifying users that can help to block the spread of misinformation.Requirements A Master or Bachelor degree with Honours in Computer Science Proficient in programming and user interface design Experience in system development and social network analysis. "
MITSUBOSHI OVERSEAS HEADQUARTERS PRIVATE LIMITED,Production Planner,"$2,500to$3,000",Monthly,14 JURONG PORT ROAD 619091,"Permanent, Full Time",Executive,Manufacturing,"Roles & Responsibilities1. Plans and prepares production schedules for manufacturing. 2. Draws up master schedule to establish sequence and lead time of each operation to meet shipping dates according to sales forecast or customer orders. 3. Analyzes production specifications and plant capacity data and performs mathematical calculations to determine manufacturing processes, tools and human resources requirements. 4. Plans and schedules workflow of each section and operation according to previously established manufacturing sequences and lead times. 5. Confers with department supervisors to determine status of assigned projects. 6. Expedites operations at delay schedules and alters schedules (after approval from superior) to meet unforeseen conditions. 7. Prepares production reports. 8. Any other duties as directed and required.Requirements1. Diploma/Degree in Materials Management or equivalent. 2. Good credits in mathematics. 3. PC literate with knowledge and application in Pivot Table. 4. Excellent analytical and interpersonal skills. 5. Minimum 2 years working experience in a manufacturing environment or related field.  "
